,dataset,model_type,N,r,CB,test_accuracy,num_parameters,num_swipes,eps,eps_decay,kernel_size,kernel_stride,early_stopping,abs_err,rel_err,seed,validation_split,timestamp
0,MNIST,tt_type1,3,8,8,97.78,12979,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:24:25.479310
1,MNIST,tt_standard,3,8,8,97.44,8560,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:29:36.447156
2,MNIST,tt_type1,3,8,12,97.78,14515,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:36:12.807935
3,MNIST,tt_standard,3,8,12,96.71,10056,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T08:43:18.514281
4,MNIST,tt_type1,3,16,8,98.02,30227,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T09:20:21.971279
5,MNIST,tt_standard,3,16,8,97.77,22160,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:02:03.638793
6,MNIST,tt_type1,4,8,8,97.8,25475,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:17:23.434695
7,MNIST,tt_standard,4,8,8,97.42,12848,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:25:56.522111
8,MNIST,tt_type1,4,8,12,97.74,29699,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:39:14.292084
9,MNIST,tt_standard,4,8,12,97.6,15704,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T10:51:09.497834
10,MNIST,tt_type1,4,16,8,98.17,65459,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T11:58:22.408625
11,MNIST,tt_standard,4,16,8,97.36,36048,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-18T12:57:35.419193
12,MNIST,tt_type1,3,8,8,97.64,12979,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-18T13:06:47.907814
13,MNIST,tt_standard,3,8,8,97.33,8560,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-18T13:12:02.664111
14,MNIST,tt_type1,3,8,12,97.61,14515,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-18T13:18:48.313900
15,MNIST,tt_type1,3,8,8,97.72,12979,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T13:28:51.027190
16,MNIST,tt_standard,3,8,8,97.32,8560,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T13:34:03.316479
17,MNIST,tt_type1,3,8,12,97.84,14515,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T13:40:28.993997
18,MNIST,tt_standard,3,8,12,97.51,10056,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T13:47:36.204995
19,MNIST,tt_type1,3,16,8,97.9,30227,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T14:24:41.027760
20,MNIST,tt_standard,3,16,8,97.62,22160,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T15:11:50.820253
21,MNIST,tt_type1,4,8,8,98.08,25475,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T15:25:50.160964
22,MNIST,tt_standard,4,8,8,97.18,12848,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T15:34:20.532811
23,MNIST,tt_type1,4,8,12,97.84,29699,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T15:49:13.410400
24,MNIST,tt_standard,4,8,12,97.03,15704,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T16:00:21.817746
25,MNIST,tt_type1,4,16,8,98.11,65459,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T17:32:47.558290
26,MNIST,tt_standard,4,16,8,97.56,36048,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-18T18:43:23.635971
27,MNIST,tt_type1,3,8,8,97.71,12979,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T18:58:12.641925
28,MNIST,tt_standard,3,8,8,97.07,8560,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T19:03:55.230451
29,MNIST,tt_type1,3,8,12,97.75,14515,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T19:10:24.624929
30,MNIST,tt_standard,3,8,12,97.18,10056,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T19:18:16.756429
31,MNIST,tt_type1,3,16,8,98.09,30227,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T19:55:49.247619
32,MNIST,tt_standard,3,16,8,97.81,22160,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T20:37:42.353210
33,MNIST,tt_type1,3,16,12,98.11,31763,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T21:16:39.428232
34,MNIST,tt_type1,4,8,8,97.74,25475,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T21:27:52.117957
35,MNIST,tt_standard,4,8,8,96.78,12848,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T21:35:19.051171
36,MNIST,tt_type1,4,8,12,97.99,29699,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T21:52:27.109341
37,MNIST,tt_standard,4,8,12,96.8,15704,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T22:03:34.111721
38,MNIST,tt_type1,4,16,8,98.14,65459,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-18T23:47:16.994018
39,MNIST,tt_standard,4,16,8,97.93,36048,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T00:58:06.370678
40,FashionMNIST,tt_type1,3,8,8,88.18,12979,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T01:08:32.712750
41,FashionMNIST,tt_standard,3,8,8,41.69,8560,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T01:10:09.593238
42,FashionMNIST,tt_type1,3,8,12,87.67,14515,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T01:18:02.889100
43,FashionMNIST,tt_standard,3,8,12,86.74,10056,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T01:26:48.164820
44,FashionMNIST,tt_type1,3,16,8,88.29,30227,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T02:15:54.685620
45,MNIST,tt_standard,3,8,12,97.17,10056,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T03:08:24.018891
46,FashionMNIST,tt_standard,3,16,8,87.99,22160,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T03:15:04.735301
47,FashionMNIST,tt_type1,4,8,8,88.4,25475,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T03:33:36.324626
48,FashionMNIST,tt_standard,4,8,8,87.1,12848,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T03:43:27.761997
49,MNIST,tt_type1,3,16,8,97.98,30227,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T03:45:38.499345
50,FashionMNIST,tt_type1,4,8,12,88.17,29699,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T04:04:57.786245
51,FashionMNIST,tt_standard,4,8,12,86.26,15704,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T04:18:33.905520
52,MNIST,tt_standard,3,16,8,97.5,22160,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T04:33:06.426158
53,MNIST,tt_type1,4,8,8,97.68,25475,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T04:46:59.407453
54,MNIST,tt_standard,4,8,8,97.37,12848,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T04:55:22.411933
55,MNIST,tt_type1,4,8,12,97.94,29699,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T05:10:07.532360
56,MNIST,tt_standard,4,8,12,97.29,15704,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T05:20:23.264547
57,FashionMNIST,tt_type1,4,16,8,88.06,65459,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T06:08:40.275316
58,MNIST,tt_type1,4,16,8,98.05,65459,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T06:41:40.224374
59,FashionMNIST,tt_standard,4,16,8,86.89,36048,5,5.0,0.25,4,4,10,0.0001,0.001,45,0.1,2025-09-19T07:25:05.178235
60,FashionMNIST,tt_type1,3,8,8,87.74,12979,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T07:34:43.103838
61,MNIST,tt_standard,4,16,8,97.63,36048,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T07:40:47.126027
62,FashionMNIST,tt_standard,3,8,8,87.52,8560,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T07:41:02.667563
63,FashionMNIST,tt_type1,3,8,12,87.91,14515,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T07:48:22.999698
64,FashionMNIST,tt_standard,3,8,12,86.89,10056,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T07:57:09.850948
65,MNIST,tt_type1,3,8,8,97.59,12979,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T08:00:46.949445
66,MNIST,tt_standard,3,8,8,97.12,8560,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T08:05:58.227092
67,MNIST,tt_type1,3,8,12,97.88,14515,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T08:12:28.079409
68,MNIST,tt_standard,3,8,12,97.3,10056,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T08:20:14.786926
69,FashionMNIST,tt_type1,3,16,8,88.35,30227,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T08:35:38.995030
70,MNIST,tt_type1,3,16,8,97.95,30227,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T08:58:00.225674
71,FashionMNIST,tt_standard,3,16,8,80.62,22160,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T09:05:41.574774
72,FashionMNIST,tt_type1,4,8,8,88.52,25475,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T09:24:25.410265
73,FashionMNIST,tt_standard,4,8,8,40.57,12848,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T09:26:35.405604
74,FashionMNIST,tt_type1,4,8,12,87.33,29699,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T09:44:35.398628
75,MNIST,tt_standard,3,16,8,97.44,22160,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T09:45:17.910070
76,FashionMNIST,tt_standard,4,8,12,87.26,15704,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T09:59:48.445406
77,MNIST,tt_type1,4,8,8,98.01,25475,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T10:00:34.190203
78,MNIST,tt_standard,4,8,8,96.91,12848,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T10:09:10.699854
79,FashionMNIST,tt_type1,4,16,8,79.28,65459,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T10:18:46.398991
80,MNIST,tt_type1,4,8,12,98.01,29699,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T10:27:28.518276
81,MNIST,tt_standard,4,8,12,97.61,15704,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T10:37:43.497638
82,FashionMNIST,tt_standard,4,16,8,86.95,36048,5,5.0,0.25,4,4,10,0.0001,0.001,46,0.1,2025-09-19T11:41:04.347221
83,MNIST,tt_type1,4,16,8,97.89,65459,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T11:50:51.289373
84,MNIST,tt_standard,4,16,8,97.57,36048,5,5.0,0.25,4,4,10,0.0001,0.001,44,0.1,2025-09-19T13:18:33.235256
85,FashionMNIST,tt_type1,3,8,8,87.93,12979,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:29:02.723632
86,FashionMNIST,tt_standard,3,8,8,87.21,8560,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:35:15.711032
87,FashionMNIST,tt_type1,3,8,12,87.72,14515,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:44:01.378308
88,FashionMNIST,tt_standard,3,8,12,87.1,10056,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T13:52:46.558830
89,FashionMNIST,tt_type1,3,16,8,88.59,30227,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T14:42:31.742815
90,FashionMNIST,tt_standard,3,16,8,58.35,22160,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T14:55:02.045963
91,FashionMNIST,tt_type1,4,8,8,88.0,25475,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T15:13:41.279104
92,FashionMNIST,tt_standard,4,8,8,87.0,12848,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T15:23:59.931235
93,FashionMNIST,tt_type1,4,8,12,88.34,29699,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T15:44:27.162770
94,MNIST,tt_type1,3,18,8,98.14,35519,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T15:56:55.682208
95,FashionMNIST,tt_standard,4,8,12,86.64,15704,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T15:58:36.531715
96,MNIST,tt_regural,3,18,8,97.73,26560,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T15:59:45.222490
97,MNIST,tt_type1,3,18,12,98.14,37055,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:03:12.264045
98,MNIST,tt_regural,3,18,12,97.86,28056,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:06:28.769697
99,MNIST,tt_type1,3,22,8,98.07,47279,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:10:10.824361
100,MNIST,tt_regural,3,22,8,97.94,36560,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:15:53.168668
101,MNIST,tt_type1,3,22,12,98.17,48815,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:23:08.103594
102,MNIST,tt_regural,3,22,12,97.86,38056,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:32:59.875618
103,MNIST,tt_type1,4,18,8,98.01,78395,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:38:13.608502
104,MNIST,tt_regural,4,18,8,97.66,43848,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:41:59.783020
105,MNIST,tt_type1,4,18,12,98.18,82619,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:48:26.048309
106,MNIST,tt_type1,4,22,8,97.96,107795,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T16:59:16.400234
107,MNIST,tt_regural,4,22,8,97.76,61848,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T17:06:29.274487
108,MNIST,tt_type1,4,22,12,97.99,112019,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T17:17:17.265275
109,MNIST,tt_regural,4,22,12,97.88,64704,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T17:26:53.124725
110,MNIST,tt_type1,3,18,8,98.1,35519,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T17:28:53.596636
111,MNIST,tt_regural,3,18,8,97.35,26560,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T17:31:23.246521
112,MNIST,tt_type1,3,18,12,97.53,37055,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T17:35:50.689102
113,MNIST,tt_regural,3,18,12,97.71,28056,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T17:39:04.197567
114,MNIST,tt_type1,3,22,8,98.13,47279,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T17:44:12.415058
115,MNIST,tt_regural,3,22,8,97.66,36560,5,5.0,0.25,4,4,10,0.0001,0.001,43,0.1,2025-09-19T17:49:55.813285
116,FashionMNIST,tt_type1,4,16,8,88.83,65459,5,5.0,0.25,4,4,10,0.0001,0.001,42,0.1,2025-09-19T17:56:10.597106
